scope,format,accuracy_pct,tokens_per_prompt,cost_vs_cheapest_pct,efficiency_frontier
GRID,ntc,45.67,594,26.1,no
GRID,md_en,46.22,471,0.0,yes
GRID,md_pt,47.44,517,9.8,yes
GRID,yaml_en,42.78,559,18.7,no
GRID,yaml_pt,48.33,598,27.0,yes
GRID,xml_en,45.44,747,58.6,no
GRID,xml_pt,49.11,795,68.8,yes
CASCADE,ntc,55.89,482,10.3,yes
CASCADE,md_en,55.56,466,6.6,yes
CASCADE,md_pt,53.89,508,16.3,no
CASCADE,yaml_en,52.89,437,0.0,yes
CASCADE,yaml_pt,52.33,466,6.6,no
CASCADE,xml_en,55.44,526,20.4,no
CASCADE,xml_pt,53.22,599,37.1,no
VOLTGRID,ntc,45.33,444,0.5,yes
VOLTGRID,md_en,42.56,482,9.0,no
VOLTGRID,md_pt,44.22,587,32.8,no
VOLTGRID,yaml_en,42.44,442,0.0,yes
VOLTGRID,yaml_pt,44.56,528,19.5,no
VOLTGRID,xml_en,44.0,540,22.2,no
VOLTGRID,xml_pt,43.89,665,50.5,no
GLOBAL,ntc,48.96,507,7.1,yes
GLOBAL,md_en,48.11,473,0.0,yes
GLOBAL,md_pt,48.52,537,13.6,no
GLOBAL,yaml_en,46.04,479,1.3,no
GLOBAL,yaml_pt,48.41,531,12.2,no
GLOBAL,xml_en,48.3,604,27.8,no
GLOBAL,xml_pt,48.74,686,45.1,no
