rank,model_run,environment,correct,total,accuracy_pct
1,GPT-5.6 terra · Codex CLI,CLI Harness,119,175,68.0
2,Gemini 3 Flash · Direct API,Direct API,116,175,66.3
3,Gemini 3.5 Flash-Lite (thinking) · Direct API,Direct API,116,175,66.3
4,GPT-5.6 sol · Codex CLI,CLI Harness,115,175,65.7
5,GPT-5.6 terra · Direct API,Direct API,112,175,64.0
6,Gemini 3.1 Pro · Direct API,Direct API,110,175,62.9
7,Gemini 3.5 Flash · Direct API,Direct API,110,175,62.9
8,Gemini 3.6 Flash · Direct API,Direct API,108,175,61.7
9,DeepSeek v4-flash · Direct API,Direct API,107,175,61.1
10,GPT-5.6 luna · Codex CLI,CLI Harness,106,175,60.6
11,DeepSeek v4-pro · Direct API,Direct API,105,175,60.0
12,Fable 5 · Claude Code,CLI Harness,105,175,60.0
13,GPT-5.4 mini · Codex CLI,CLI Harness,105,175,60.0
14,Kimi K2.6 · Direct API,Direct API,102,175,58.3
15,Grok 4.5 · grok CLI,CLI Harness,101,175,57.7
16,Grok 4.6 · grok CLI,CLI Harness,99,175,56.6
17,Kimi K2.7 · kimi CLI,CLI Harness,99,175,56.6
18,GPT-5.6 sol · Direct API,Direct API,97,175,55.4
19,GPT-5.5 · Codex CLI,CLI Harness,95,175,54.3
20,Kimi K3 · Direct API,Direct API,95,175,54.3
21,Sonnet 5 · Claude Code,CLI Harness,95,175,54.3
22,GPT-5.6 luna · Direct API,Direct API,92,175,52.6
23,Grok 4.3 · Direct API,Direct API,83,175,47.4
24,Opus 4.8 · Claude Code,CLI Harness,81,175,46.3
25,Qwen3.8-max · qwen CLI,CLI Harness,81,175,46.3
26,GLM 5.2 · Direct API,Direct API,71,175,40.6
27,GPT-5.3 Codex Spark · Codex CLI,CLI Harness,63,175,36.0
28,Gemini 2.5 Pro (run 1) · Direct API,Direct API,57,175,32.6
29,Gemini 2.5 Pro (run 2) · Direct API,Direct API,57,175,32.6
30,Opus 4.8 · Direct API,Direct API,40,175,22.9
31,MiniMax M3 · Direct API,Direct API,37,175,21.1
32,Gemini 3.1 Flash-Lite · Direct API,Direct API,35,175,20.0
33,MiniMax M3 · Claude Code,CLI Harness,28,175,16.0
34,Haiku 4.5 · Direct API,Direct API,27,175,15.4
35,Sonnet 5 · Direct API,Direct API,26,175,14.9
36,Opus 4.6 · Direct API,Direct API,19,175,10.9
37,Gemini 2.5 Flash-Lite (thinking) · Direct API,Direct API,10,175,5.7
