rank,model_run,environment,correct,total,accuracy_pct
1,GPT-5.6 sol · Codex CLI,CLI Harness,407,525,77.5
2,GPT-5.6 terra · Direct API,Direct API,383,525,73.0
3,GPT-5.6 sol · Direct API,Direct API,374,525,71.2
4,GPT-5.6 terra · Codex CLI,CLI Harness,366,525,69.7
5,GPT-5.6 luna · Direct API,Direct API,365,525,69.5
6,Gemini 3.1 Pro · Direct API,Direct API,341,525,65.0
7,GPT-5.6 luna · Codex CLI,CLI Harness,336,525,64.0
8,Grok 4.6 · grok CLI,CLI Harness,316,525,60.2
9,GPT-5.4 mini · Codex CLI,CLI Harness,315,525,60.0
10,Gemini 3.6 Flash · Direct API,Direct API,315,525,60.0
11,Fable 5 · Claude Code,CLI Harness,313,525,59.6
12,Grok 4.5 · grok CLI,CLI Harness,313,525,59.6
13,Opus 4.8 · Claude Code,CLI Harness,295,525,56.2
14,Gemini 3.5 Flash · Direct API,Direct API,293,525,55.8
15,Kimi K2.6 · Direct API,Direct API,290,525,55.2
16,Kimi K3 · Direct API,Direct API,287,525,54.7
17,DeepSeek v4-pro · Direct API,Direct API,278,525,53.0
18,GLM 5.2 · Direct API,Direct API,275,525,52.4
19,Gemini 3 Flash · Direct API,Direct API,267,525,50.9
20,Qwen3.8-max · qwen CLI,CLI Harness,267,525,50.9
21,GPT-5.5 · Codex CLI,CLI Harness,258,525,49.1
22,Sonnet 5 · Claude Code,CLI Harness,257,525,49.0
23,DeepSeek v4-flash · Direct API,Direct API,254,525,48.4
24,Gemini 3.5 Flash-Lite (thinking) · Direct API,Direct API,253,525,48.2
25,Kimi K2.7 · kimi CLI,CLI Harness,253,525,48.2
26,Opus 4.8 · Direct API,Direct API,251,525,47.8
27,Grok 4.3 · Direct API,Direct API,212,525,40.4
28,GPT-5.3 Codex Spark · Codex CLI,CLI Harness,186,525,35.4
29,Gemini 2.5 Pro (run 1) · Direct API,Direct API,183,525,34.9
30,Gemini 2.5 Pro (run 2) · Direct API,Direct API,173,525,33.0
31,MiniMax M3 · Direct API,Direct API,159,525,30.3
32,Sonnet 5 · Direct API,Direct API,149,525,28.4
33,Opus 4.6 · Direct API,Direct API,138,525,26.3
34,MiniMax M3 · Claude Code,CLI Harness,126,525,24.0
35,Haiku 4.5 · Direct API,Direct API,92,525,17.5
36,Gemini 2.5 Flash-Lite (thinking) · Direct API,Direct API,41,525,7.8
37,Gemini 3.1 Flash-Lite · Direct API,Direct API,36,525,6.9
