model_run,environment,group,puzzle,format,language,repetition,correct
DeepSeek v4-flash · Direct API,Direct API,GRID,p0,ntc,n/a,1,1
DeepSeek v4-flash · Direct API,Direct API,GRID,p0,ntc,n/a,2,1
DeepSeek v4-flash · Direct API,Direct API,GRID,p0,ntc,n/a,3,1
DeepSeek v4-flash · Direct API,Direct API,GRID,p0,ntc,n/a,4,1
DeepSeek v4-flash · Direct API,Direct API,GRID,p0,ntc,n/a,5,1
DeepSeek v4-flash · Direct API,Direct API,GRID,p0,md_en,en,1,1
DeepSeek v4-flash · Direct API,Direct API,GRID,p0,md_en,en,2,1
DeepSeek v4-flash · Direct API,Direct API,GRID,p0,md_en,en,3,1
DeepSeek v4-flash · Direct API,Direct API,GRID,p0,md_en,en,4,0
DeepSeek v4-flash · Direct API,Direct API,GRID,p0,md_en,en,5,1
DeepSeek v4-flash · Direct API,Direct API,GRID,p0,md_pt,pt,1,1
DeepSeek v4-flash · Direct API,Direct API,GRID,p0,md_pt,pt,2,1
DeepSeek v4-flash · Direct API,Direct API,GRID,p0,md_pt,pt,3,1
DeepSeek v4-flash · Direct API,Direct API,GRID,p0,md_pt,pt,4,1
DeepSeek v4-flash · Direct API,Direct API,GRID,p0,md_pt,pt,5,1
DeepSeek v4-flash · Direct API,Direct API,GRID,p0,yaml_en,en,1,1
DeepSeek v4-flash · Direct API,Direct API,GRID,p0,yaml_en,en,2,0
DeepSeek v4-flash · Direct API,Direct API,GRID,p0,yaml_en,en,3,1
DeepSeek v4-flash · Direct API,Direct API,GRID,p0,yaml_en,en,4,1
DeepSeek v4-flash · Direct API,Direct API,GRID,p0,yaml_en,en,5,1
DeepSeek v4-flash · Direct API,Direct API,GRID,p0,yaml_pt,pt,1,1
DeepSeek v4-flash · Direct API,Direct API,GRID,p0,yaml_pt,pt,2,1
DeepSeek v4-flash · Direct API,Direct API,GRID,p0,yaml_pt,pt,3,1
DeepSeek v4-flash · Direct API,Direct API,GRID,p0,yaml_pt,pt,4,1
DeepSeek v4-flash · Direct API,Direct API,GRID,p0,yaml_pt,pt,5,1
DeepSeek v4-flash · Direct API,Direct API,GRID,p0,xml_en,en,1,1
DeepSeek v4-flash · Direct API,Direct API,GRID,p0,xml_en,en,2,1
DeepSeek v4-flash · Direct API,Direct API,GRID,p0,xml_en,en,3,1
DeepSeek v4-flash · Direct API,Direct API,GRID,p0,xml_en,en,4,1
DeepSeek v4-flash · Direct API,Direct API,GRID,p0,xml_en,en,5,0
DeepSeek v4-flash · Direct API,Direct API,GRID,p0,xml_pt,pt,1,1
DeepSeek v4-flash · Direct API,Direct API,GRID,p0,xml_pt,pt,2,1
DeepSeek v4-flash · Direct API,Direct API,GRID,p0,xml_pt,pt,3,1
DeepSeek v4-flash · Direct API,Direct API,GRID,p0,xml_pt,pt,4,1
DeepSeek v4-flash · Direct API,Direct API,GRID,p0,xml_pt,pt,5,1
DeepSeek v4-flash · Direct API,Direct API,GRID,p1,ntc,n/a,1,0
DeepSeek v4-flash · Direct API,Direct API,GRID,p1,ntc,n/a,2,1
DeepSeek v4-flash · Direct API,Direct API,GRID,p1,ntc,n/a,3,1
DeepSeek v4-flash · Direct API,Direct API,GRID,p1,ntc,n/a,4,1
DeepSeek v4-flash · Direct API,Direct API,GRID,p1,ntc,n/a,5,0
DeepSeek v4-flash · Direct API,Direct API,GRID,p1,md_en,en,1,1
DeepSeek v4-flash · Direct API,Direct API,GRID,p1,md_en,en,2,0
